city1,city2,transit_distance [m],transit_time [s]
Ferno,Madrid,-1,-1
Nice,Madrid,1297402,45600
Nantes,Madrid,836131,55500
Paris,Madrid,1049942,55800
Ranon,Madrid,453215,27857
Palermo,Madrid,2286076,138900
Pamplona,Madrid,334346,18900
Prague,Madrid,2770259,74700
Pisa,Madrid,1689062,75720
Santiago de Compostela,Madrid,633390,11100
Santander,Madrid,-1,-1
Sofia,Madrid,3478272,163800
Sta Cruz de la Palma,Madrid,-1,-1
London,Madrid,1783116,70560
Minsk,Moscow,1044496,29880
Minsk,Moscow,1044496,29880
Novokuznetsk,Moscow,-1,-1
Beslan,Moscow,3308674,186975
Orsk,Moscow,2543466,117900
Perm,Moscow,2107130,88320
Perm,Moscow,2107130,88320
Petrozavodsk,Moscow,1046454,44940
Orenburg,Moscow,1907595,94560
Sabetta,Moscow,-1,-1
Syktyvkar,Moscow,-1,-1
Syktyvkar,Moscow,-1,-1
Munich,Barcelona,1537928,55860
Ferno,Barcelona,-1,-1
Napoli,Barcelona,-1,-1
Nice,Barcelona,672651,32880
Paris,Barcelona,834126,47710
Ranon,Barcelona,1054522,37817
Palermo,Barcelona,1661325,126180
Prague,Barcelona,2164088,63060
Sofia,Barcelona,2501740,134820
Sta Cruz de la Palma,Barcelona,-1,-1
London,Barcelona,1503477,60960
Munich,Malaga,2648382,81300
Newcastle,Malaga,2656156,114600
Weeze,Malaga,2257111,97200
Paris,Malaga,1603347,69120
Oslo,Malaga,3944068,156420
Prague,Malaga,3274542,88500
Rotterdam,Malaga,2271941,78420
London,Malaga,2272216,83580
Napoli,Otopeni,-1,-1
Nykoping,Otopeni,3148807,157211
Oradea,Otopeni,763720,50040
Billund,Otopeni,2743271,132060
Bologna,Otopeni,1672492,102420
Rome,Otopeni,2047516,119820
Gatwick,Otopeni,2981091,142620
London,Otopeni,2688075,138420
Munich,Valencia,1890955,72420
Napoli,Valencia,1941299,100402
Paris,Valencia,1134635,64630
Palermo,Valencia,2024250,141180
Pisa,Valencia,1429572,80640
Santiago de Compostela,Valencia,1030811,21780
London,Valencia,1850158,77520
Munich,Thessaloniki,1592447,95820
