city1,city2,transit_distance [m],transit_time [s]
Arkhangelsk,Moscow,-1,-1
Chelyabinsk,Moscow,-1,-1
Izhevsk,Moscow,1528463,97800
Krasnoyarsk,Moscow,-1,-1
Ufa,Moscow,3448951,84480
Ufa,Moscow,3448951,84480
Ufa,Moscow,3448951,84480
Ulyanovsk,Moscow,1313631,56940
Ulyanovsk,Moscow,1313631,56940
Bugulma,Moscow,1826268,84420
Kaliningrad,Moscow,1832277,81384
Nizhnekamsk,Moscow,-1,-1
Volgograd,Moscow,1850832,85200
Volgograd,Moscow,1850832,85200
Seville,Barcelona,1339767,45000
Rinas,Barcelona,2120563,138949
Caselle Torinese,Barcelona,957511,56033
Venezia,Barcelona,-1,-1
Vigo,Barcelona,1316211,29820
Vienna,Barcelona,2480790,81960
Warsaw,Barcelona,2796867,101170
Warsaw,Barcelona,2796867,101170
Jerez de la Frontera,Barcelona,-1,-1
Zurich,Barcelona,1072286,60060
Seville,Madrid,738460,34920
Toulouse,Madrid,689688,35100
Caselle Torinese,Madrid,1586501,70133
Venezia,Madrid,-1,-1
Vigo,Madrid,682836,16200
Vienna,Madrid,2745457,88680
Valencia,Madrid,398351,6780
Jerez de la Frontera,Madrid,-1,-1
Zurich,Madrid,1701276,74160
Salzburg,Helsinki,2155024,120780
Tallinn,Helsinki,86284,10020
Trondheim,Helsinki,1709393,106620
Vaasa,Helsinki,419874,13860
Vienna,Helsinki,1933618,117900
Vilnius,Helsinki,671904,54600
Warsaw,Helsinki,1089352,68760
Zurich,Helsinki,2546658,134640
Toulouse,Munich,1501464,58380
Caselle Torinese,Munich,776281,47273
Venezia,Munich,507193,30600
Vienna,Munich,455693,16140
Vilnius,Munich,1736485,66780
Warsaw,Munich,1258113,44400
Zagreb,Munich,547928,29280
Zurich,Munich,570891,29160
Stavanger,Amsterdam,-1,-1
Salzburg,Amsterdam,1045276,38280
Tampere,Amsterdam,2145592,127560
Trondheim,Amsterdam,2190943,115440
Torp,Amsterdam,-1,-1
Venezia,Amsterdam,1368873,62940
Warsaw,Amsterdam,1245793,55140
Zagreb,Amsterdam,1408600,61140
Seville,Paris,2112683,80100
Seville,Paris,2112683,80100
Venezia,Paris,1414754,52380
Venezia,Paris,1414754,52380
Vienna,Paris,1362533,43860
Warsaw,Paris,1712257,64860
Zurich,Paris,583839,33000
Seville,London,2617180,93060
Rinas,London,2513368,142069
Tours,London,942527,45960
Venezia,London,1780655,70020
Venezia,London,1780655,70020
Warsaw,London,1835478,71760
Zagreb,London,-1,-1
Caselle Torinese,Otopeni,2241021,130913
Treviso,Otopeni,1603273,112980
Timisoara,Otopeni,674977,48107
Vienna,Otopeni,1146401,65580
Warsaw,Otopeni,-1,-1
Zurich,Otopeni,1869221,100620
Salzburg,Stockholm,2081974,74820
Rinas,Stockholm,3358794,176809
Tallinn,Stockholm,534104,77869
Caselle Torinese,Stockholm,2506704,117113
Umea,Stockholm,709688,28440
Zurich,Stockholm,2086993,80580
Moscow,St. Petersburg,643476,31140
Ufa,St. Petersburg,4340610,101520
Ulyanovsk,St. Petersburg,1957526,72240
Moscow,St. Petersburg,643476,31140
Volgograd,St. Petersburg,3461445,127500
Voronezh,St. Petersburg,1260547,47280
Seville,Orio al Serio,2292145,82895
Rinas,Orio al Serio,1160677,81666
Timisoara,Orio al Serio,1459170,76125
Vienna,Orio al Serio,901226,42723
Warsaw,Orio al Serio,1813577,73738
Seville,Rome,2800056,88500
Rinas,Rome,722903,66289
